Dismissals,Catches,Stumped,Catches_as_wk,Catches_as_fielder,Inninng,Ground,Start Date,Format,Opponent,Match_number
1,1,0,1,0,1,Colombo (RPS),28 Jul 2012,ODI,Sri Lanka,3293
3,2,1,2,0,1,Colombo (RPS),31 Jul 2012,ODI,Sri Lanka,3294
1,1,0,1,0,2,Pallekele,4 Aug 2012,ODI,Sri Lanka,3295
2,2,0,2,0,2,Pallekele,7 Aug 2012,T20I,Sri Lanka,255
1,0,1,0,0,2,Hyderabad,23 Aug 2012,Test,New Zealand,2054
0,0,0,0,0,3,Hyderabad,23 Aug 2012,Test,New Zealand,2054
0,0,0,0,0,1,Bengaluru,31 Aug 2012,Test,New Zealand,2055
3,2,1,2,0,3,Bengaluru,31 Aug 2012,Test,New Zealand,2055
0,0,0,0,0,1,Chennai,11 Sep 2012,T20I,New Zealand,261
1,1,0,1,0,2,Colombo (RPS),19 Sep 2012,T20I,Afghanistan,265
1,0,1,0,0,2,Colombo (RPS),23 Sep 2012,T20I,England,272
0,0,0,0,0,2,Colombo (RPS),28 Sep 2012,T20I,Australia,278
4,4,0,4,0,1,Colombo (RPS),30 Sep 2012,T20I,Pakistan,282
0,0,0,0,0,2,Colombo (RPS),2 Oct 2012,T20I,South Africa,286
0,0,0,0,0,2,Ahmedabad,15 Nov 2012,Test,England,2058
1,1,0,1,0,3,Ahmedabad,15 Nov 2012,Test,England,2058
2,2,0,2,0,2,Wankhede,23 Nov 2012,Test,England,2062
0,0,0,0,0,4,Wankhede,23 Nov 2012,Test,England,2062
3,3,0,3,0,2,Eden Gardens,5 Dec 2012,Test,England,2065
2,1,1,1,0,4,Eden Gardens,5 Dec 2012,Test,England,2065
1,1,0,1,0,1,Nagpur,13 Dec 2012,Test,England,2066
1,1,0,1,0,3,Nagpur,13 Dec 2012,Test,England,2066
0,0,0,0,0,1,Pune,20 Dec 2012,T20I,England,292
1,0,1,0,0,2,Wankhede,22 Dec 2012,T20I,England,294
1,1,0,1,0,2,Bengaluru,25 Dec 2012,T20I,Pakistan,296
1,0,1,0,0,2,Ahmedabad,28 Dec 2012,T20I,Pakistan,298
0,0,0,0,0,2,Chennai,30 Dec 2012,ODI,Pakistan,3314
1,0,1,0,0,1,Eden Gardens,3 Jan 2013,ODI,Pakistan,3315
2,1,1,1,0,2,Delhi,6 Jan 2013,ODI,Pakistan,3316
0,0,0,0,0,1,Rajkot,11 Jan 2013,ODI,England,3318
3,3,0,3,0,2,Kochi,15 Jan 2013,ODI,England,3320
3,3,0,3,0,1,Ranchi,19 Jan 2013,ODI,England,3322
0,0,0,0,0,1,Mohali,23 Jan 2013,ODI,England,3327
0,0,0,0,0,2,Dharamsala,27 Jan 2013,ODI,England,3329
1,0,1,0,0,1,Chennai,22 Feb 2013,Test,Australia,2074
0,0,0,0,0,3,Chennai,22 Feb 2013,Test,Australia,2074
2,2,0,2,0,1,Hyderabad,2 Mar 2013,Test,Australia,2076
1,1,0,1,0,3,Hyderabad,2 Mar 2013,Test,Australia,2076
5,3,2,3,0,1,Mohali,14 Mar 2013,Test,Australia,2081
2,2,0,2,0,3,Mohali,14 Mar 2013,Test,Australia,2081
1,0,1,0,0,1,Delhi,22 Mar 2013,Test,Australia,2085
2,1,1,1,0,3,Delhi,22 Mar 2013,Test,Australia,2085
2,2,0,2,0,2,Cardiff,6 Jun 2013,ODI,South Africa,3363
2,1,1,1,0,1,The Oval,11 Jun 2013,ODI,West Indies,3368
2,2,0,2,0,1,Birmingham,15 Jun 2013,ODI,Pakistan,3372
1,0,1,0,0,1,Cardiff,20 Jun 2013,ODI,Sri Lanka,3376
2,0,2,0,0,2,Birmingham,23 Jun 2013,ODI,England,3377
0,0,0,0,0,2,Kingston,30 Jun 2013,ODI,West Indies,3380
4,1,3,1,0,1,Port of Spain,11 Jul 2013,ODI,Sri Lanka,3388
1,1,0,1,0,1,Rajkot,10 Oct 2013,T20I,Australia,331
0,0,0,0,0,1,Pune,13 Oct 2013,ODI,Australia,3419
1,1,0,1,0,1,Jaipur,16 Oct 2013,ODI,Australia,3420
1,1,0,1,0,2,Mohali,19 Oct 2013,ODI,Australia,3421
2,1,1,1,0,1,Ranchi,23 Oct 2013,ODI,Australia,3422
0,0,0,0,0,1,Nagpur,30 Oct 2013,ODI,Australia,3424
0,0,0,0,0,2,Bengaluru,2 Nov 2013,ODI,Australia,3428
0,0,0,0,0,1,Eden Gardens,6 Nov 2013,Test,West Indies,2101
0,0,0,0,0,3,Eden Gardens,6 Nov 2013,Test,West Indies,2101
3,3,0,3,0,1,Wankhede,14 Nov 2013,Test,West Indies,2102
2,1,1,1,0,3,Wankhede,14 Nov 2013,Test,West Indies,2102
1,0,1,0,0,1,Kochi,21 Nov 2013,ODI,West Indies,3436
4,3,1,3,0,2,Visakhapatnam,24 Nov 2013,ODI,West Indies,3437
1,1,0,1,0,1,Kanpur,27 Nov 2013,ODI,West Indies,3439
0,0,0,0,0,1,Johannesburg,5 Dec 2013,ODI,South Africa,3442
2,1,1,1,0,1,Durban,8 Dec 2013,ODI,South Africa,3443
0,0,0,0,0,1,Centurion,11 Dec 2013,ODI,South Africa,3444
1,1,0,1,0,2,Johannesburg,18 Dec 2013,Test,South Africa,2108
0,0,0,0,0,4,Johannesburg,18 Dec 2013,Test,South Africa,2108
2,2,0,2,0,2,Durban,26 Dec 2013,Test,South Africa,2111
0,0,0,0,0,4,Durban,26 Dec 2013,Test,South Africa,2111
2,2,0,2,0,1,Napier,19 Jan 2014,ODI,New Zealand,3456
3,2,1,2,0,1,Hamilton,22 Jan 2014,ODI,New Zealand,3458
0,0,0,0,0,1,Auckland,25 Jan 2014,ODI,New Zealand,3462
0,0,0,0,0,2,Hamilton,28 Jan 2014,ODI,New Zealand,3465
0,0,0,0,0,1,Wellington,31 Jan 2014,ODI,New Zealand,3467
1,1,0,1,0,1,Auckland,6 Feb 2014,Test,New Zealand,2118
0,0,0,0,0,3,Auckland,6 Feb 2014,Test,New Zealand,2118
2,2,0,2,0,1,Wellington,14 Feb 2014,Test,New Zealand,2120
4,4,0,4,0,3,Wellington,14 Feb 2014,Test,New Zealand,2120
1,0,1,0,0,1,Mirpur,21 Mar 2014,T20I,Pakistan,378
1,0,1,0,0,1,Mirpur,23 Mar 2014,T20I,West Indies,382
1,0,1,0,0,1,Mirpur,28 Mar 2014,T20I,Bangladesh,389
1,1,0,1,0,2,Mirpur,30 Mar 2014,T20I,Australia,393
1,1,0,1,0,1,Mirpur,4 Apr 2014,T20I,South Africa,399
1,1,0,1,0,2,Mirpur,6 Apr 2014,T20I,Sri Lanka,400
3,3,0,3,0,2,Nottingham,9 Jul 2014,Test,England,2128
3,3,0,3,0,2,Lord's,17 Jul 2014,Test,England,2130
3,3,0,3,0,4,Lord's,17 Jul 2014,Test,England,2130
3,3,0,3,0,1,Southampton,27 Jul 2014,Test,England,2132
0,0,0,0,0,3,Southampton,27 Jul 2014,Test,England,2132
2,2,0,2,0,2,Manchester,7 Aug 2014,Test,England,2134
3,3,0,3,0,2,The Oval,15 Aug 2014,Test,England,2137
1,0,1,0,0,2,Cardiff,27 Aug 2014,ODI,England,3517
4,2,2,2,0,1,Nottingham,30 Aug 2014,ODI,England,3520
0,0,0,0,0,1,Birmingham,2 Sep 2014,ODI,England,3523
2,1,1,1,0,1,Leeds,5 Sep 2014,ODI,England,3525
0,0,0,0,0,1,Birmingham,7 Sep 2014,T20I,England,405
0,0,0,0,0,1,Kochi,8 Oct 2014,ODI,West Indies,3531
1,0,1,0,0,2,Delhi,11 Oct 2014,ODI,West Indies,3533
0,0,0,0,0,2,Dharamsala,17 Oct 2014,ODI,West Indies,3535
2,2,0,2,0,2,Brisbane,17 Dec 2014,Test,Australia,2149
3,3,0,3,0,4,Brisbane,17 Dec 2014,Test,Australia,2149
5,4,1,4,0,1,Melbourne,26 Dec 2014,Test,Australia,2152
4,4,0,4,0,3,Melbourne,26 Dec 2014,Test,Australia,2152
2,2,0,2,0,2,Melbourne,18 Jan 2015,ODI,Australia,3582
0,0,0,0,0,2,Brisbane,20 Jan 2015,ODI,England,3586
TDNF,-,-,-,-,-,Sydney,26 Jan 2015,ODI,Australia,3592
0,0,0,0,0,2,Perth,30 Jan 2015,ODI,England,3595
3,3,0,3,0,2,Adelaide,15 Feb 2015,ODI,Pakistan,3602
0,0,0,0,0,2,Melbourne,22 Feb 2015,ODI,South Africa,3610
2,2,0,2,0,1,Perth,28 Feb 2015,ODI,U.A.E.,3618
2,2,0,2,0,1,Perth,6 Mar 2015,ODI,West Indies,3625
2,2,0,2,0,1,Hamilton,10 Mar 2015,ODI,Ireland,3631
2,2,0,2,0,1,Auckland,14 Mar 2015,ODI,Zimbabwe,3636
4,4,0,4,0,2,Melbourne,19 Mar 2015,ODI,Bangladesh,3641
0,0,0,0,0,1,Sydney,26 Mar 2015,ODI,Australia,3645
0,0,0,0,0,1,Mirpur,18 Jun 2015,ODI,Bangladesh,3658
1,1,0,1,0,2,Mirpur,21 Jun 2015,ODI,Bangladesh,3660
1,1,0,1,0,2,Mirpur,24 Jun 2015,ODI,Bangladesh,3661
0,0,0,0,0,2,Dharamsala,2 Oct 2015,T20I,South Africa,456
0,0,0,0,0,2,Cuttack,5 Oct 2015,T20I,South Africa,457
2,1,1,1,0,1,Kanpur,11 Oct 2015,ODI,South Africa,3689
4,3,1,3,0,2,Indore,14 Oct 2015,ODI,South Africa,3692
1,0,1,0,0,1,Rajkot,18 Oct 2015,ODI,South Africa,3695
2,2,0,2,0,2,Chennai,22 Oct 2015,ODI,South Africa,3698
2,2,0,2,0,1,Wankhede,25 Oct 2015,ODI,South Africa,3700
0,0,0,0,0,2,Perth,12 Jan 2016,ODI,Australia,3723
0,0,0,0,0,2,Brisbane,15 Jan 2016,ODI,Australia,3724
3,2,1,2,0,2,Melbourne,17 Jan 2016,ODI,Australia,3725
0,0,0,0,0,1,Canberra,20 Jan 2016,ODI,Australia,3726
1,1,0,1,0,1,Sydney,23 Jan 2016,ODI,Australia,3727
0,0,0,0,0,2,Adelaide,26 Jan 2016,T20I,Australia,485
3,1,2,1,0,2,Melbourne,29 Jan 2016,T20I,Australia,486
1,1,0,1,0,1,Sydney,31 Jan 2016,T20I,Australia,489
0,0,0,0,0,2,Pune,9 Feb 2016,T20I,Sri Lanka,496
3,1,2,1,0,2,Ranchi,12 Feb 2016,T20I,Sri Lanka,497
2,1,1,1,0,1,Visakhapatnam,14 Feb 2016,T20I,Sri Lanka,499
2,2,0,2,0,2,Mirpur,24 Feb 2016,T20I,Bangladesh,509
2,2,0,2,0,1,Mirpur,27 Feb 2016,T20I,Pakistan,512
3,2,1,2,0,1,Mirpur,1 Mar 2016,T20I,Sri Lanka,515
0,0,0,0,0,1,Mirpur,3 Mar 2016,T20I,U.A.E.,517
0,0,0,0,0,1,Mirpur,6 Mar 2016,T20I,Bangladesh,521
2,1,1,1,0,1,Nagpur,15 Mar 2016,T20I,New Zealand,535
1,1,0,1,0,1,Eden Gardens,19 Mar 2016,T20I,Pakistan,541
2,0,2,0,0,2,Bengaluru,23 Mar 2016,T20I,Bangladesh,547
3,2,1,2,0,1,Mohali,27 Mar 2016,T20I,Australia,553
0,0,0,0,0,2,Wankhede,31 Mar 2016,T20I,West Indies,556
2,2,0,2,0,1,Harare,11 Jun 2016,ODI,Zimbabwe,3742
1,1,0,1,0,1,Harare,13 Jun 2016,ODI,Zimbabwe,3744
1,1,0,1,0,1,Harare,15 Jun 2016,ODI,Zimbabwe,3746
1,1,0,1,0,1,Harare,18 Jun 2016,T20I,Zimbabwe,558
0,0,0,0,0,1,Harare,20 Jun 2016,T20I,Zimbabwe,559
0,0,0,0,0,2,Harare,22 Jun 2016,T20I,Zimbabwe,560
0,0,0,0,0,1,Lauderhill,27 Aug 2016,T20I,West Indies,562
2,1,1,1,0,1,Lauderhill,28 Aug 2016,T20I,West Indies,563
2,2,0,2,0,1,Dharamsala,16 Oct 2016,ODI,New Zealand,3796
1,1,0,1,0,1,Delhi,20 Oct 2016,ODI,New Zealand,3797
2,0,2,0,0,1,Mohali,23 Oct 2016,ODI,New Zealand,3798
2,2,0,2,0,1,Ranchi,26 Oct 2016,ODI,New Zealand,3799
2,1,1,1,0,2,Visakhapatnam,29 Oct 2016,ODI,New Zealand,3800
2,1,1,1,0,1,Pune,15 Jan 2017,ODI,England,3819
2,1,1,1,0,2,Cuttack,19 Jan 2017,ODI,England,3821
0,0,0,0,0,1,Eden Gardens,22 Jan 2017,ODI,England,3824
0,0,0,0,0,2,Kanpur,26 Jan 2017,T20I,England,592
0,0,0,0,0,2,Nagpur,29 Jan 2017,T20I,England,593
2,1,1,1,0,2,Bengaluru,1 Feb 2017,T20I,England,594
1,1,0,1,0,2,Birmingham,4 Jun 2017,ODI,Pakistan,3878
0,0,0,0,0,2,The Oval,8 Jun 2017,ODI,Sri Lanka,3882
2,2,0,2,0,1,The Oval,11 Jun 2017,ODI,South Africa,3886
1,1,0,1,0,1,Birmingham,15 Jun 2017,ODI,Bangladesh,3891
0,0,0,0,0,1,The Oval,18 Jun 2017,ODI,Pakistan,3894
TDNF,-,-,-,-,-,Port of Spain,23 Jun 2017,ODI,West Indies,3895
3,1,2,1,0,2,Port of Spain,25 Jun 2017,ODI,West Indies,3896
1,0,1,0,0,2,North Sound,30 Jun 2017,ODI,West Indies,3898
2,2,0,2,0,1,North Sound,2 Jul 2017,ODI,West Indies,3900
2,2,0,2,0,1,Kingston,6 Jul 2017,ODI,West Indies,3902
1,1,0,1,0,2,Kingston,9 Jul 2017,T20I,West Indies,617
1,0,1,0,0,1,Dambulla,20 Aug 2017,ODI,Sri Lanka,3905
1,0,1,0,0,1,Pallekele,24 Aug 2017,ODI,Sri Lanka,3906
0,0,0,0,0,1,Pallekele,27 Aug 2017,ODI,Sri Lanka,3907
3,3,0,3,0,2,Colombo (RPS),31 Aug 2017,ODI,Sri Lanka,3908
3,2,1,2,0,1,Colombo (RPS),3 Sep 2017,ODI,Sri Lanka,3909
1,0,1,0,0,1,Colombo (RPS),6 Sep 2017,T20I,Sri Lanka,618
3,2,1,2,0,2,Chennai,17 Sep 2017,ODI,Australia,3910
2,1,1,1,0,2,Eden Gardens,21 Sep 2017,ODI,Australia,3912
1,0,1,0,0,1,Indore,24 Sep 2017,ODI,Australia,3914
0,0,0,0,0,1,Bengaluru,28 Sep 2017,ODI,Australia,3917
0,0,0,0,0,1,Nagpur,1 Oct 2017,ODI,Australia,3919
0,0,0,0,0,1,Ranchi,7 Oct 2017,T20I,Australia,623
0,0,0,0,0,2,Guwahati,10 Oct 2017,T20I,Australia,624
0,0,0,0,0,2,Wankhede,22 Oct 2017,ODI,New Zealand,3928
2,2,0,2,0,1,Pune,25 Oct 2017,ODI,New Zealand,3931
1,1,0,1,0,2,Kanpur,29 Oct 2017,ODI,New Zealand,3932
3,2,1,2,0,2,Delhi,1 Nov 2017,T20I,New Zealand,630
0,0,0,0,0,1,Rajkot,4 Nov 2017,T20I,New Zealand,631
0,0,0,0,0,2,Thiruvananthapuram,7 Nov 2017,T20I,New Zealand,632
1,1,0,1,0,2,Dharamsala,10 Dec 2017,ODI,Sri Lanka,3939
3,2,1,2,0,2,Mohali,13 Dec 2017,ODI,Sri Lanka,3941
2,1,1,1,0,1,Visakhapatnam,17 Dec 2017,ODI,Sri Lanka,3942
4,2,2,2,0,2,Cuttack,20 Dec 2017,T20I,Sri Lanka,633
2,0,2,0,0,2,Indore,22 Dec 2017,T20I,Sri Lanka,634
0,0,0,0,0,1,Wankhede,24 Dec 2017,T20I,Sri Lanka,635
0,0,0,0,0,1,Durban,1 Feb 2018,ODI,South Africa,3969
1,1,0,1,0,1,Centurion,4 Feb 2018,ODI,South Africa,3970
2,1,1,1,0,2,Cape Town,7 Feb 2018,ODI,South Africa,3971
0,0,0,0,0,2,Johannesburg,10 Feb 2018,ODI,South Africa,3973
2,1,1,1,0,2,Gqeberha,13 Feb 2018,ODI,South Africa,3976
1,1,0,1,0,1,Centurion,16 Feb 2018,ODI,South Africa,3978
1,1,0,1,0,2,Johannesburg,18 Feb 2018,T20I,South Africa,652
1,1,0,1,0,2,Centurion,21 Feb 2018,T20I,South Africa,654
0,0,0,0,0,2,Cape Town,24 Feb 2018,T20I,South Africa,655
2,0,2,0,0,2,Dublin (Malahide),27 Jun 2018,T20I,Ireland,678
2,0,2,0,0,1,Manchester,3 Jul 2018,T20I,England,684
0,0,0,0,0,2,Cardiff,6 Jul 2018,T20I,England,688
5,5,0,5,0,1,Bristol,8 Jul 2018,T20I,England,690
1,1,0,1,0,1,Nottingham,12 Jul 2018,ODI,England,4014
2,2,0,2,0,1,Lord's,14 Jul 2018,ODI,England,4016
0,0,0,0,0,2,Leeds,17 Jul 2018,ODI,England,4018
3,2,1,2,0,2,Dubai (DSC),18 Sep 2018,ODI,Hong Kong,4039
3,2,1,2,0,1,Dubai (DSC),19 Sep 2018,ODI,Pakistan,4040
1,1,0,1,0,1,Dubai (DSC),21 Sep 2018,ODI,Bangladesh,4042
1,1,0,1,0,1,Dubai (DSC),23 Sep 2018,ODI,Pakistan,4044
2,0,2,0,0,1,Dubai (DSC),25 Sep 2018,ODI,Afghanistan,4046
2,0,2,0,0,1,Dubai (DSC),28 Sep 2018,ODI,Bangladesh,4048
1,1,0,1,0,1,Guwahati,21 Oct 2018,ODI,West Indies,4056
0,0,0,0,0,2,Visakhapatnam,24 Oct 2018,ODI,West Indies,4059
3,2,1,2,0,1,Pune,27 Oct 2018,ODI,West Indies,4062
1,0,1,0,0,2,Brabourne,29 Oct 2018,ODI,West Indies,4063
1,1,0,1,0,1,Thiruvananthapuram,1 Nov 2018,ODI,West Indies,4064
0,0,0,0,0,1,Sydney,12 Jan 2019,ODI,Australia,4077
2,1,1,1,0,1,Adelaide,15 Jan 2019,ODI,Australia,4078
1,0,1,0,0,1,Melbourne,18 Jan 2019,ODI,Australia,4079
1,0,1,0,0,1,Napier,23 Jan 2019,ODI,New Zealand,4082
1,0,1,0,0,2,Mount Maunganui,26 Jan 2019,ODI,New Zealand,4085
0,0,0,0,0,2,Wellington,3 Feb 2019,ODI,New Zealand,4092
0,0,0,0,0,1,Wellington,6 Feb 2019,T20I,New Zealand,735
1,1,0,1,0,1,Auckland,8 Feb 2019,T20I,New Zealand,737
2,1,1,1,0,1,Hamilton,10 Feb 2019,T20I,New Zealand,738
1,1,0,1,0,2,Visakhapatnam,24 Feb 2019,T20I,Australia,748
0,0,0,0,0,2,Bengaluru,27 Feb 2019,T20I,Australia,749
2,1,1,1,0,1,Hyderabad,2 Mar 2019,ODI,Australia,4102
2,2,0,2,0,2,Nagpur,5 Mar 2019,ODI,Australia,4106
0,0,0,0,0,1,Ranchi,8 Mar 2019,ODI,Australia,4109
1,0,1,0,0,1,Southampton,5 Jun 2019,ODI,South Africa,4150
1,1,0,1,0,2,The Oval,9 Jun 2019,ODI,Australia,4155
0,0,0,0,0,2,Manchester,16 Jun 2019,ODI,Pakistan,4161
1,0,1,0,0,2,Southampton,22 Jun 2019,ODI,Afghanistan,4169
1,1,0,1,0,2,Manchester,27 Jun 2019,ODI,West Indies,4175
0,0,0,0,0,1,Birmingham,30 Jun 2019,ODI,England,4179
1,1,0,1,0,2,Birmingham,2 Jul 2019,ODI,Bangladesh,4182
4,3,1,3,0,1,Leeds,6 Jul 2019,ODI,Sri Lanka,4187
1,1,0,1,0,1,Manchester,9 Jul 2019,ODI,New Zealand,4190
